audienceScore,audienceScore_sentiment,criticsScore,criticsScore_certifiedAttribute,criticsScore_sentiment,lower_title,original_release_year,title
24,negative,,False,,immanence,2022,Immanence
53,negative,76,False,positive,jerryseinfeld:23hourstokill,2020,Jerry Seinfeld: 23 Hours to Kill
89,positive,89,True,positive,kramervs.kramer,2012,Kramer vs. Kramer
52,negative,86,True,positive,maggie'splan,2016,Maggie's Plan
87,positive,100,True,positive,meetmeinst.louis,2016,Meet Me in St. Louis
73,positive,21,False,negative,patchadams,2016,Patch Adams
71,positive,58,False,negative,returntooz,2014,Return to Oz
65,positive,75,False,positive,sisteract,2015,Sister Act
69,positive,96,True,positive,theamusementpark,2021,The Amusement Park
63,positive,22,False,negative,thebookofhenry,2017,The Book of Henry
59,negative,71,False,positive,thecommand,2019,The Command
,,57,False,negative,theexorcismofgod,2022,The Exorcism of God
68,positive,50,False,negative,thefirstwivesclub,2008,The First Wives Club
66,positive,28,False,negative,theimmaculateroom,2022,The Immaculate Room
83,positive,76,True,positive,thekingofstatenisland,2020,The King of Staten Island
76,positive,94,True,positive,thelastseduction,2018,The Last Seduction
79,positive,68,False,positive,wishdragon,2021,Wish Dragon
74,positive,88,True,positive,20thcenturywomen,2017,20th Century Women
75,positive,68,False,positive,beingthericardos,2021,Being the Ricardos
49,negative,54,False,negative,elizagraves,2017,Eliza Graves
24,negative,31,False,negative,finalgirl,2016,Final Girl
43,negative,84,True,positive,gaia,2021,Gaia
66,positive,51,False,negative,heavenisforreal,2015,Heaven Is for Real
92,positive,96,True,positive,intheheatofthenight,2010,In the Heat of the Night
80,positive,93,True,positive,ladyandthetramp,2018,Lady and the Tramp
27,negative,41,False,negative,lockeddown,2021,Locked Down
67,positive,36,False,negative,nationaltreasure:bookofsecrets,2014,National Treasure: Book of Secrets
87,positive,100,False,positive,rescuedbyruby,2022,Rescued by Ruby
47,negative,38,False,negative,residentevil:thefinalchapter,2017,Resident Evil: The Final Chapter
86,positive,93,False,positive,shinultraman,2023,Shin Ultraman
90,positive,96,True,positive,who'safraidofvirginiawoolf?,2008,Who's Afraid of Virginia Woolf?
55,negative,93,True,positive,aboutaboy,2016,About a Boy
91,positive,96,True,positive,aguirre:thewrathofgod,2017,Aguirre: The Wrath of God
69,positive,49,False,negative,brahmāstrapartone:shiva,2022,Brahmāstra Part One: Shiva
46,negative,92,True,positive,cominghomeinthedark,2021,Coming Home in the Dark
95,positive,78,False,positive,dealingwithdad,2023,Dealing with Dad
79,positive,86,True,positive,elf,2015,Elf
48,negative,69,False,positive,funnypeople,2015,Funny People
61,positive,38,False,negative,hectorandthesearchforhappiness,2015,Hector and the Search for Happiness
93,positive,46,False,negative,heretoday,2021,Here Today
62,positive,73,False,positive,lordsofchaos,2019,Lords of Chaos
79,positive,86,True,positive,pleasantville,2008,Pleasantville
65,positive,89,False,positive,salem'slot,2016,Salem's Lot
21,negative,19,False,negative,stardust,2020,Stardust
51,negative,93,True,positive,sweetheart,2019,Sweetheart
78,positive,69,False,positive,tiemeup!tiemedown!,2017,Tie Me Up! Tie Me Down!
100,positive,100,False,positive,wildboys,2023,Wild Boys
49,negative,26,False,negative,wrathofthetitans,2012,Wrath of the Titans
75,positive,86,False,positive,afortunateman,2019,A Fortunate Man
