audienceScore,audienceScore_sentiment,criticsScore,criticsScore_certifiedAttribute,criticsScore_sentiment,lower_title,original_release_year,title
85,positive,84,True,positive,abigail,2024,Abigail
83,positive,43,False,negative,ghostbusters:frozenempire,2024,Ghostbusters: Frozen Empire
91,positive,79,True,positive,wickedlittleletters,2024,Wicked Little Letters
97,positive,100,False,positive,kissthefuture,2024,Kiss the Future
12,negative,46,False,negative,foundersday,2024,Founders Day
100,positive,100,False,positive,billy&molly:anotterlovestory,2024,Billy & Molly: An Otter Love Story
,,,False,,forsale,2024,For Sale
,,100,False,positive,mindbodyspirit,2024,Mind Body Spirit
63,positive,93,True,positive,housekeepingforbeginners,2024,Housekeeping for Beginners
,,86,False,positive,uncropped,2024,Uncropped
,,,False,,ruby'schoice,2024,Ruby's Choice
50,negative,85,False,positive,sheisconann,2024,She Is Conann
94,positive,92,False,positive,indigogirls:it'sonlylifeafterall,2024,Indigo Girls: It's Only Life After All
,,,False,,camptonmanor,2024,Campton Manor
,,,False,,kittythekiller,2024,Kitty the Killer
,,,False,,lionspy:thehuntforjustice,2024,Lion Spy: The Hunt for Justice
,,,False,,thelastmovieevermade,2024,The Last Movie Ever Made
,,,False,,onehanddon'tclap,2024,One Hand Don't Clap
,,,False,,skelly,2024,Skelly
,,,False,,sira,2024,Sira
,,,False,,rootsoffire,2024,Roots of Fire
,,,False,,thefinal:attackonwembley,2024,The Final: Attack on Wembley
88,positive,78,False,positive,letitbe,2024,Let It Be
,,22,False,negative,motherofthebride,2024,Mother of the Bride
,,,False,,theguardianofthemonarchs,2024,The Guardian of the Monarchs
,,97,False,positive,thelaststopinyumacounty,2024,The Last Stop in Yuma County
,,100,False,positive,aisha,2024,Aisha
,,,False,,theimageofyou,2024,The Image of You
,,40,False,negative,lazareth,2024,Lazareth
,,,False,,foil,2024,Foil
,,87,False,positive,robeofgems,2024,Robe of Gems
,,,False,,livingwithleopards,2024,Living With Leopards 
,,,False,,h2:theoccupationlab,2024,H2: The Occupation Lab
,,,False,,lovesolutions,2024,Love Solutions
,,,False,,mommymeanest,2024,Mommy Meanest
,,,False,,nikkiglaser:somedayyou'lldie,2024,Nikki Glaser: Someday You'll Die
,,,False,,kevinhart:thekennedycentermarktwainprizeforamericanhumor,2024,Kevin Hart: The Kennedy Center Mark Twain Prize for American Humor
83,positive,60,False,positive,pureo,2024,Pure O
56,negative,39,False,negative,unfrosted,2024,Unfrosted
68,positive,83,True,positive,theideaofyou,2024,The Idea of You
81,positive,97,True,positive,latenightwiththedevil,2024,Late Night with the Devil
94,positive,90,False,positive,turtlesallthewaydown,2024,Turtles All the Way Down
84,positive,89,True,positive,monkeyman,2024,Monkey Man
55,negative,83,True,positive,arcadian,2024,Arcadian
82,positive,94,True,positive,loveliesbleeding,2024,Love Lies Bleeding
60,positive,100,True,positive,"laroy,texas",2024,"LaRoy, Texas"
81,positive,92,False,positive,newlife,2024,New Life
87,positive,54,False,negative,anyonebutyou,2024,Anyone But You
72,positive,49,False,negative,thejudge,2015,The Judge
42,negative,29,False,negative,miller'sgirl,2024,Miller's Girl
95,positive,92,True,positive,dune:parttwo,2024,Dune: Part Two
84,positive,94,True,positive,warfortheplanetoftheapes,2019,War for the Planet of the Apes
92,positive,70,False,positive,thebeekeeper,2024,The Beekeeper
72,positive,96,True,positive,infested,2024,Infested
75,positive,83,False,positive,inthelandofsaintsandsinners,2024,In the Land of Saints and Sinners
95,positive,89,True,positive,darkwaters,2019,Dark Waters
97,positive,69,False,positive,arthurtheking,2024,Arthur the King
60,positive,73,False,positive,immaculate,2024,Immaculate
72,positive,33,False,negative,argylle,2024,Argylle
97,positive,80,False,positive,thelonggame,2024,The Long Game
87,positive,72,False,positive,kungfupanda4,2024,Kung Fu Panda 4
59,negative,52,False,negative,starwars:episodei-thephantommenace,2015,Star Wars: Episode I - The Phantom Menace
92,positive,97,True,positive,theholdovers,2023,The Holdovers
28,negative,,False,,kattwilliams:wokefoke,2024,Katt Williams: Woke Foke
94,positive,99,True,positive,l.a.confidential,2015,L.A. Confidential
77,positive,82,True,positive,riseoftheplanetoftheapes,2013,Rise of the Planet of the Apes
88,positive,91,True,positive,dawnoftheplanetoftheapes,2015,Dawn of the Planet of the Apes
42,negative,35,False,negative,thegreatwall,2017,The Great Wall
79,positive,92,True,positive,poorthings,2024,Poor Things
78,positive,93,True,positive,thezoneofinterest,2024,The Zone of Interest
76,positive,54,False,negative,bullettrain,2022,Bullet Train
49,negative,16,False,negative,rebelmoon:parttwo-thescargiver,2024,Rebel Moon: Part Two - The Scargiver
61,positive,86,True,positive,rustcreek,2019,Rust Creek
57,negative,11,False,negative,madameweb,2024,Madame Web
95,positive,90,True,positive,onelife,2024,One Life
84,positive,75,True,positive,thegentlemen,2020,The Gentlemen
91,positive,96,True,positive,allofusstrangers,2024,All of Us Strangers
57,negative,21,False,negative,rebelmoon:partone-achildoffire,2023,Rebel Moon: Part One - A Child of Fire
70,positive,,False,,theroastoftombrady,2024,The Roast of Tom Brady
88,positive,,False,,chiefofstation,2024,Chief of Station
,,,False,,honeymoonish,2024,Honeymoonish
83,positive,91,False,positive,thecontestant,2024,The Contestant
90,positive,96,True,positive,anatomyofafall,2023,Anatomy of a Fall
94,positive,64,False,positive,landofbad,2024,Land of Bad
82,positive,93,True,positive,femme,2024,Femme
96,positive,95,True,positive,thepeanutbutterfalcon,2019,The Peanut Butter Falcon
82,positive,95,True,positive,talktome,2023,Talk to Me
96,positive,35,False,negative,wherethecrawdadssing,2022,Where the Crawdads Sing
68,positive,91,True,positive,dreamscenario,2023,Dream Scenario
53,negative,59,False,negative,roadhouse,2024,Road House
35,negative,73,True,positive,leavetheworldbehind,2023,Leave the World Behind
71,positive,93,True,positive,barbarian,2022,Barbarian
81,positive,48,False,negative,wish,2024,Wish
94,positive,89,True,positive,theironclaw,2024,The Iron Claw
84,positive,95,True,positive,pastlives,2023,Past Lives
87,positive,38,False,negative,sleepingdogs,2024,Sleeping Dogs
91,positive,93,True,positive,oppenheimer,2023,Oppenheimer
31,negative,0,False,negative,365days,2020,365 Days
87,positive,,False,,3daysinmalay,2023,3 Days in Malay
94,positive,93,True,positive,alien,2014,Alien
36,negative,33,False,negative,somethinginthewater,2024,Something in the Water
75,positive,94,True,positive,x,2022,X
84,positive,95,True,positive,hundredsofbeavers,2024,Hundreds of Beavers
90,positive,38,False,negative,promdates,2024,Prom Dates
91,positive,82,True,positive,wonka,2024,Wonka
63,positive,26,False,negative,theamericansocietyofmagicalnegroes,2024,The American Society of Magical Negroes
27,negative,43,False,negative,planetoftheapes,2013,Planet of the Apes
92,positive,44,False,negative,bobmarley:onelove,2024,Bob Marley: One Love
89,positive,96,True,positive,perfectdays,2024,Perfect Days
65,positive,49,False,negative,spaceman,2024,Spaceman
40,negative,,False,,secretsoftheneanderthals,2024,Secrets of the Neanderthals
84,positive,93,True,positive,killersoftheflowermoon,2023,Killers of the Flower Moon
90,positive,83,True,positive,dune,2021,Dune
98,positive,100,False,positive,mysteriousways,2024,Mysterious Ways
68,positive,79,True,positive,you'llneverfindme,2024,You'll Never Find Me
86,positive,97,True,positive,madmax:furyroad,2016,Mad Max: Fury Road
96,positive,93,True,positive,americanfiction,2024,American Fiction
64,positive,93,False,positive,pageeight,2017,Page Eight
60,positive,57,False,negative,damsel,2024,Damsel
38,negative,14,False,negative,garfield:themovie,2015,Garfield: The Movie
75,positive,92,True,positive,thestranger,2022,The Stranger
89,positive,64,False,positive,thehungergames:theballadofsongbirds&snakes,2023,The Hunger Games: The Ballad of Songbirds & Snakes
55,negative,86,True,positive,outofdarkness,2024,Out of Darkness
75,positive,62,False,positive,themummy,2015,The Mummy
88,positive,86,True,positive,planetoftheapes,2014,Planet of the Apes
99,positive,85,True,positive,ordinaryangels,2024,Ordinary Angels
79,positive,97,True,positive,whenevillurks,2023,When Evil Lurks
77,positive,61,False,positive,theequalizer,2016,The Equalizer
82,positive,62,False,positive,themarvels,2024,The Marvels
6,negative,9,False,negative,megamindvs.thedoomsyndicate,2024,Megamind vs. the Doom Syndicate
49,negative,90,True,positive,stopmotion,2024,Stopmotion
87,positive,32,False,negative,fivenightsatfreddy's,2023,Five Nights at Freddy's
79,positive,71,False,positive,saltburn,2023,Saltburn
87,positive,70,False,positive,nohardfeelings,2023,No Hard Feelings
94,positive,76,True,positive,theequalizer3,2023,The Equalizer 3
90,positive,99,True,positive,parasite,2019,Parasite
72,positive,47,False,negative,rickystanicky,2024,Ricky Stanicky
59,negative,57,False,negative,napoleon,2024,Napoleon
97,positive,58,False,negative,theboysintheboat,2024,The Boys in the Boat
89,positive,90,True,positive,bottoms,2023,Bottoms
83,positive,88,True,positive,barbie,2023,Barbie
39,negative,69,False,positive,men,2022,Men
64,positive,15,False,negative,blended,2016,Blended
86,positive,93,True,positive,everythingeverywhereallatonce,2022,Everything Everywhere All at Once
86,positive,73,True,positive,interstellar,2016,Interstellar
67,positive,45,False,negative,thelittlethings,2021,The Little Things
63,positive,63,False,positive,thematrixresurrections,2021,The Matrix Resurrections
,,94,False,positive,rather,2024,Rather
56,negative,24,False,negative,imaginary,2024,Imaginary
43,negative,21,False,negative,nightswim,2024,Night Swim
67,positive,37,False,negative,glass,2019,Glass
88,positive,76,True,positive,blackout,2024,Blackout
86,positive,51,False,negative,starwars:theriseofskywalker,2019,Star Wars: The Rise of Skywalker
76,positive,67,False,positive,thecreator,2023,The Creator
73,positive,100,True,positive,hishouse,2020,His House
88,positive,72,False,positive,migration,2024,Migration
62,positive,77,True,positive,scoop,2024,Scoop
42,negative,91,True,positive,starwars:thelastjedi,2018,Star Wars: The Last Jedi
81,positive,34,False,negative,anna,2019,Anna
71,positive,45,False,negative,reptile,2023,Reptile
77,positive,71,True,positive,theamazingspider-man,2014,The Amazing Spider-Man
99,positive,96,True,positive,topgun:maverick,2022,Top Gun: Maverick
33,negative,14,False,negative,breathe,2024,Breathe
98,positive,83,True,positive,guyritchie'sthecovenant,2023,Guy Ritchie's The Covenant
90,positive,98,True,positive,lettherightonein,2017,Let the Right One In
84,positive,93,True,positive,thefallout,2022,The Fallout
,,,False,,thesixth,2024,The Sixth
61,positive,85,True,positive,thekiller,2023,The Killer
66,positive,91,True,positive,maydecember,2023,May December
,,100,False,positive,butterflyinthesky,2024,Butterfly in the Sky
38,negative,55,False,negative,thedeaddon'tdie,2019,The Dead Don't Die
66,positive,79,True,positive,starwars:episodeiii-revengeofthesith,2015,Star Wars: Episode III - Revenge of the Sith
81,positive,34,False,negative,aquamanandthelostkingdom,2024,Aquaman and the Lost Kingdom
69,positive,83,True,positive,nope,2022,Nope
79,positive,94,True,positive,emilythecriminal,2022,Emily the Criminal
93,positive,76,True,positive,"red,white&royalblue",2023,"Red, White & Royal Blue"
94,positive,98,True,positive,blackberry,2023,BlackBerry
86,positive,55,False,negative,mortalkombat,2021,Mortal Kombat
41,negative,25,False,negative,fiftyshadesofgrey,2016,Fifty Shades of Grey
90,positive,45,False,negative,thegrayman,2022,The Gray Man
43,negative,,False,,hackyourhealth:thesecretsofyourgut,2024,Hack Your Health: The Secrets of Your Gut
86,positive,98,True,positive,getout,2017,Get Out
24,negative,33,False,negative,theflood,2023,The Flood
87,positive,95,True,positive,música,2024,Música
80,positive,72,False,positive,triangleofsadness,2022,Triangle of Sadness
91,positive,76,True,positive,godzillavs.kong,2021,Godzilla vs. Kong
62,positive,69,False,positive,meangirls,2024,Mean Girls
91,positive,91,True,positive,marvel'stheavengers,2014,Marvel's the Avengers
74,positive,87,True,positive,margincall,2013,Margin Call
90,positive,94,True,positive,avengers:endgame,2019,Avengers: Endgame
68,positive,85,False,positive,thebeautifulgame,2024,The Beautiful Game
97,positive,100,True,positive,sevensamurai,2011,Seven Samurai
35,negative,34,False,negative,masterminds,2017,Masterminds
66,positive,95,True,positive,itfollows,2016,It Follows
32,negative,77,True,positive,shadowinthecloud,2021,Shadow in the Cloud
81,positive,95,True,positive,thewonderfulstoryofhenrysugar,2023,The Wonderful Story of Henry Sugar
96,positive,96,True,positive,spiritedaway,2019,Spirited Away
,,79,False,positive,catchingfire:thestoryofanitapallenberg,2024,Catching Fire: The Story of Anita Pallenberg
94,positive,96,True,positive,mission:impossible-deadreckoningpartone,2023,Mission: Impossible - Dead Reckoning Part One
94,positive,95,True,positive,spider-man:acrossthespider-verse,2023,Spider-Man: Across the Spider-Verse
98,positive,93,True,positive,spider-man:nowayhome,2022,Spider-Man: No Way Home
87,positive,90,True,positive,promisingyoungwoman,2021,Promising Young Woman
91,positive,52,False,negative,transformers:riseofthebeasts,2023,Transformers: Rise of the Beasts
26,negative,40,False,negative,youshouldhaveleft,2020,You Should Have Left
86,positive,60,False,positive,cityhunter,2024,City Hunter
63,positive,79,True,positive,thekillingofasacreddeer,2017,The Killing of a Sacred Deer
64,positive,80,True,positive,redeye,2017,Red Eye
95,positive,59,False,negative,thesupermariobros.movie,2023,The Super Mario Bros. Movie
98,positive,97,True,positive,thegodfather,2013,The Godfather
79,positive,78,True,positive,bloodfordust,2024,Blood for Dust
60,positive,100,False,positive,disappearcompletely,2024,Disappear Completely
32,negative,29,False,negative,lift,2024,Lift
81,positive,51,False,negative,lisafrankenstein,2024,Lisa Frankenstein
80,positive,84,True,positive,thanksgiving,2023,Thanksgiving
86,positive,92,True,positive,babydriver,2017,Baby Driver
28,negative,48,False,negative,thebricklayer,2024,The Bricklayer
86,positive,,False,,downtherabbithole,2024,Down the Rabbit Hole
74,positive,72,False,positive,ferrari,2024,Ferrari
87,positive,98,True,positive,minari,2021,Minari
79,positive,78,True,positive,split,2017,Split
73,positive,100,False,positive,doubleblind,2024,Double Blind
77,positive,29,False,negative,jurassicworlddominion,2022,Jurassic World Dominion
79,positive,100,True,positive,leavenotrace,2018,Leave No Trace
42,negative,31,False,negative,baghead,2024,Baghead
68,positive,32,False,negative,purplehearts,2022,Purple Hearts
87,positive,85,True,positive,thebatman,2022,The Batman
98,positive,65,False,positive,granturismo:basedonatruestory,2023,Gran Turismo: Based on a True Story
94,positive,82,True,positive,guardiansofthegalaxyvol.3,2023,Guardians of the Galaxy Vol. 3
72,positive,90,True,positive,thelighthouse,2019,The Lighthouse
53,negative,50,False,negative,old,2021,Old
72,positive,40,False,negative,kingdomofheaven,2012,Kingdom of Heaven
94,positive,64,False,positive,ghostbusters:afterlife,2022,Ghostbusters: Afterlife
48,negative,17,False,negative,hellboy,2019,Hellboy
86,positive,93,True,positive,nocountryforoldmen,2016,No Country for Old Men
68,positive,65,False,positive,themazerunner,2014,The Maze Runner
85,positive,93,True,positive,starwars:theforceawakens,2016,Star Wars: The Force Awakens
92,positive,61,False,positive,marryme,2022,Marry Me
88,positive,98,True,positive,thebigsick,2017,The Big Sick
73,positive,27,False,negative,meg2:thetrench,2023,Meg 2: The Trench
75,positive,75,True,positive,thisisme...now:alovestory,2024,This Is Me... Now: A Love Story
86,positive,94,True,positive,callmebyyourname,2018,Call Me by Your Name
96,positive,33,False,negative,nefarious,2023,Nefarious
50,negative,14,False,negative,lol,2014,LOL
56,negative,65,False,positive,starwars:episodeii-attackoftheclones,2015,Star Wars: Episode II - Attack of the Clones
17,negative,29,False,negative,damaged,2024,Damaged
93,positive,94,True,positive,johnwick:chapter4,2023,John Wick: Chapter 4
70,positive,90,True,positive,hereditary,2018,Hereditary
75,positive,91,True,positive,thegift,2016,The Gift
100,positive,95,True,positive,theyclonedtyrone,2023,They Cloned Tyrone
52,negative,91,True,positive,uncutgems,2019,Uncut Gems
88,positive,88,True,positive,bladerunner2049,2017,Blade Runner 2049
93,positive,97,True,positive,spotlight,2016,Spotlight
50,negative,89,True,positive,thegreenknight,2021,The Green Knight
74,positive,38,False,negative,don'tworrydarling,2022,Don't Worry Darling
65,positive,18,False,negative,after,2019,After
,,,False,,13bombs,2024,13 Bombs
90,positive,93,True,positive,logan,2017,Logan
75,positive,49,False,negative,thelastvoyageofthedemeter,2023,The Last Voyage of the Demeter
91,positive,97,True,positive,huntforthewilderpeople,2016,Hunt for the Wilderpeople
70,positive,86,True,positive,onceuponatime...inhollywood,2019,Once Upon a Time... In Hollywood
76,positive,94,True,positive,thepowerofthedog,2021,The Power of the Dog
62,positive,75,True,positive,asteroidcity,2023,Asteroid City
49,negative,55,False,negative,whatjenniferdid,2024,What Jennifer Did
91,positive,87,True,positive,inception,2013,Inception
84,positive,45,False,negative,nextgoalwins,2024,Next Goal Wins
25,negative,22,False,negative,cashout,2024,Cash Out
79,positive,99,True,positive,ladybird,2018,Lady Bird
75,positive,67,False,positive,sweetdreams,2024,Sweet Dreams
98,positive,90,True,positive,kingrichard,2021,King Richard
94,positive,94,True,positive,thedarkknight,2010,The Dark Knight
79,positive,91,True,positive,theniceguys,2016,The Nice Guys
88,positive,70,False,positive,indianajonesandthedialofdestiny,2023,Indiana Jones and the Dial of Destiny
98,positive,89,True,positive,theshawshankredemption,2008,The Shawshank Redemption
83,positive,93,True,positive,pearl,2022,Pearl
54,negative,85,True,positive,fairplay,2023,Fair Play
53,negative,91,True,positive,alone,2020,Alone
97,positive,95,True,positive,starwars:episodev-theempirestrikesback,2015,Star Wars: Episode V - The Empire Strikes Back
97,positive,98,True,positive,schindler'slist,2013,Schindler's List
99,positive,57,False,negative,soundoffreedom,2023,Sound of Freedom
82,positive,94,True,positive,arrival,2017,Arrival
89,positive,80,True,positive,sawx,2023,Saw X
83,positive,63,False,positive,theflash,2023,The Flash
,,,False,,witch,2024,Witch
81,positive,91,True,positive,lalaland,2017,La La Land
37,negative,63,False,positive,drive-awaydolls,2024,Drive-Away Dolls
90,positive,67,False,positive,wrathofman,2021,Wrath of Man
29,negative,90,True,positive,we'reallgoingtotheworld'sfair,2022,We're All Going to the World's Fair
71,positive,99,True,positive,undertheshadow,2017,Under the Shadow
93,positive,91,True,positive,dungeons&dragons:honoramongthieves,2023,Dungeons & Dragons: Honor Among Thieves
69,positive,88,True,positive,titanic,2014,Titanic
73,positive,71,False,positive,threethousandyearsoflonging,2022,Three Thousand Years of Longing
85,positive,86,True,positive,insideman,2016,Inside Man
96,positive,93,True,positive,starwars:episodeiv-anewhope,2016,Star Wars: Episode IV - A New Hope
90,positive,40,False,negative,uncharted,2022,Uncharted
63,positive,84,True,positive,priscilla,2023,Priscilla
94,positive,95,True,positive,pussinboots:thelastwish,2023,Puss in Boots: The Last Wish
90,positive,95,True,positive,teenagemutantninjaturtles:mutantmayhem,2023,Teenage Mutant Ninja Turtles: Mutant Mayhem
90,positive,88,True,positive,shrek,2015,Shrek
93,positive,96,True,positive,thepromisedland,2024,The Promised Land
37,negative,35,False,negative,allgoodthings,2016,All Good Things
96,positive,69,False,positive,sonicthehedgehog2,2022,Sonic the Hedgehog 2
76,positive,88,True,positive,themenu,2023,The Menu
76,positive,63,False,positive,thor:loveandthunder,2022,Thor: Love and Thunder
83,positive,96,True,positive,aquietplace,2018,A Quiet Place
20,negative,69,False,positive,xx,2017,XX
85,positive,84,True,positive,dumbmoney,2023,Dumb Money
94,positive,94,True,positive,whiplash,2016,Whiplash
56,negative,82,True,positive,noonewillsaveyou,2023,No One Will Save You
98,positive,92,True,positive,fordvferrari,2019,Ford v Ferrari
90,positive,100,False,positive,thethinblueline,2016,The Thin Blue Line
87,positive,84,True,positive,rogueone:astarwarsstory,2017,Rogue One: A Star Wars Story
39,negative,42,False,negative,captivestate,2019,Captive State
28,negative,22,False,negative,thejester,2023,The Jester
61,positive,52,False,negative,theequalizer2,2018,The Equalizer 2
81,positive,82,True,positive,coupdechance,2024,Coup de Chance
47,negative,67,False,positive,lucy,2016,Lucy
68,positive,77,False,positive,upgraded,2024,Upgraded
62,positive,91,True,positive,orionandthedark,2024,Orion and the Dark
91,positive,78,True,positive,bluebeetle,2023,Blue Beetle
80,positive,85,True,positive,thetalentedmr.ripley,2013,The Talented Mr. Ripley
86,positive,92,True,positive,exmachina,2016,Ex Machina
63,positive,83,True,positive,midsommar,2019,Midsommar
77,positive,79,True,positive,smile,2022,Smile
92,positive,97,True,positive,knivesout,2020,Knives Out
51,negative,56,False,negative,morningglory,2015,Morning Glory
82,positive,99,True,positive,thewailing,2016,The Wailing
91,positive,97,True,positive,monster,2024,Monster
98,positive,91,True,positive,shang-chiandthelegendofthetenrings,2021,Shang-Chi and the Legend of the Ten Rings
,,,False,,beautifulrebel,2024,Beautiful Rebel
53,negative,17,False,negative,thetearsmith,2024,The Tearsmith
59,negative,22,False,negative,theexorcist:believer,2023,The Exorcist: Believer
91,positive,60,False,positive,nightshift,2024,Night Shift
76,positive,53,False,negative,theaccountant,2016,The Accountant
88,positive,94,True,positive,sisu,2023,Sisu
92,positive,76,True,positive,avatar:thewayofwater,2023,Avatar: The Way of Water
48,negative,49,False,negative,thestrangers,2012,The Strangers
84,positive,89,True,positive,problemista,2024,Problemista
88,positive,90,True,positive,societyofthesnow,2024,Society of the Snow
84,positive,84,True,positive,thewayback,2020,The Way Back
67,positive,88,True,positive,annihilation,2018,Annihilation
64,positive,17,False,negative,woodywoodpeckergoestocamp,2024,Woody Woodpecker Goes to Camp
98,positive,93,True,positive,air,2023,Air
94,positive,97,True,positive,spider-man:intothespider-verse,2019,Spider-Man: Into the Spider-Verse
77,positive,47,False,negative,eternals,2022,Eternals
64,positive,23,False,negative,painhustlers,2023,Pain Hustlers
91,positive,94,True,positive,ironman,2013,Iron Man
89,positive,98,True,positive,insideout,2015,Inside Out
61,positive,30,False,negative,finestkind,2023,Finestkind
94,positive,97,True,positive,goodwillhunting,2016,Good Will Hunting
53,negative,82,True,positive,eileen,2024,Eileen
94,positive,80,True,positive,freeguy,2021,Free Guy
85,positive,92,True,positive,sicario,2015,Sicario
80,positive,75,True,positive,harold&kumargotowhitecastle,2008,Harold & Kumar Go to White Castle
94,positive,94,True,positive,memento,2017,Memento
68,positive,73,True,positive,prometheus,2013,Prometheus
79,positive,93,True,positive,drive,2013,Drive
64,positive,94,True,positive,youhurtmyfeelings,2023,You Hurt My Feelings
88,positive,99,True,positive,paddington2,2018,Paddington 2
69,positive,41,False,negative,divergent,2016,Divergent
91,positive,99,True,positive,howtotrainyourdragon,2015,How to Train Your Dragon
61,positive,88,False,positive,justiceleague:crisisoninfiniteearthspartone,2024,Justice League: Crisis on Infinite Earths Part One
69,positive,89,True,positive,shrek2,2015,Shrek 2
72,positive,98,True,positive,thebabadook,2015,The Babadook
52,negative,57,False,negative,babylon,2023,Babylon
94,positive,92,True,positive,eternalsunshineofthespotlessmind,2014,Eternal Sunshine of the Spotless Mind
85,positive,54,False,negative,thenotebook,2013,The Notebook
88,positive,69,False,positive,joker,2019,Joker
,,,False,,impulse,2024,Impulse
76,positive,8,False,negative,freelance,2023,Freelance
95,positive,100,True,positive,graveofthefireflies,2017,Grave of the Fireflies
74,positive,94,True,positive,prey,2022,Prey
82,positive,99,True,positive,eighthgrade,2018,Eighth Grade
83,positive,94,True,positive,theedgeofseventeen,2017,The Edge of Seventeen
91,positive,67,False,positive,icanonlyimagine,2018,I Can Only Imagine
85,positive,73,False,positive,doctorstrangeinthemultiverseofmadness,2022,Doctor Strange in the Multiverse of Madness
82,positive,90,True,positive,joyride,2023,Joy Ride
95,positive,76,True,positive,forrestgump,2013,Forrest Gump
93,positive,73,True,positive,elemental,2023,Elemental
96,positive,80,True,positive,fightclub,2014,Fight Club
56,negative,94,True,positive,thelostdaughter,2021,The Lost Daughter
83,positive,42,False,negative,godzilla:kingofthemonsters,2019,Godzilla: King of the Monsters
94,positive,97,True,positive,coco,2018,Coco
90,positive,85,True,positive,deadpool,2016,Deadpool
92,positive,85,True,positive,avengers:infinitywar,2018,Avengers: Infinity War
94,positive,84,True,positive,nobody,2021,Nobody
55,negative,,False,,light,2024,Light
66,positive,76,True,positive,godzilla,2014,Godzilla
60,positive,71,True,positive,idiocracy,2015,Idiocracy
53,negative,84,True,positive,monolith,2024,Monolith
84,positive,56,False,negative,fastx,2023,Fast X
81,positive,96,True,positive,aftersun,2022,Aftersun
,,93,False,positive,somethingyousaidlastnight,2024,Something You Said Last Night
55,negative,84,True,positive,speaknoevil,2022,Speak No Evil
85,positive,83,True,positive,thematrix,2009,The Matrix
97,positive,69,False,positive,amancalledotto,2023,A Man Called Otto
95,positive,99,True,positive,casablanca,2008,Casablanca
75,positive,47,False,negative,shecametome,2023,She Came to Me
91,positive,90,True,positive,x-men:daysoffuturepast,2015,X-Men: Days of Future Past
82,positive,46,False,negative,ant-manandthewasp:quantumania,2023,Ant-Man and The Wasp: Quantumania
81,positive,88,True,positive,coherence,2015,Coherence
94,positive,83,True,positive,oldboy,2017,Oldboy
93,positive,98,True,positive,chinatown,2013,Chinatown
87,positive,100,False,positive,leila,2024,Leila
64,positive,90,True,positive,thenorthman,2022,The Northman
52,negative,87,True,positive,infinitypool,2023,Infinity Pool
69,positive,67,False,positive,theincrediblehulk,2014,The Incredible Hulk
85,positive,97,True,positive,mudbound,2017,Mudbound
71,positive,86,True,positive,theautopsyofjanedoe,2017,The Autopsy of Jane Doe
39,negative,57,False,negative,thestranger,2024,The Stranger
39,negative,89,False,positive,"lovely,dark,anddeep",2024,"Lovely, Dark, and Deep"
75,positive,86,True,positive,shingodzilla,2017,Shin Godzilla
95,positive,99,True,positive,"areyoutheregod?it'sme,margaret.",2023,"Are You There God? It's Me, Margaret."
88,positive,97,True,positive,hellorhighwater,2016,Hell or High Water
91,positive,84,True,positive,hacksawridge,2017,Hacksaw Ridge
66,positive,48,False,negative,thegreatesthits,2024,The Greatest Hits
94,positive,98,True,positive,aliens,2013,Aliens
93,positive,93,True,positive,hustle,2022,Hustle
70,positive,89,True,positive,madmax,2016,Mad Max
40,negative,90,True,positive,thenest,2020,The Nest
62,positive,32,False,negative,hypnotic,2023,Hypnotic
85,positive,80,False,positive,thebutterfly,2024,The Butterfly
92,positive,97,True,positive,portraitofaladyonfire,2020,Portrait of a Lady on Fire
78,positive,93,True,positive,m3gan,2023,M3GAN
67,positive,95,True,positive,turningred,2022,Turning Red
57,negative,24,False,negative,vanhelsing,2016,Van Helsing
38,negative,37,False,negative,beneaththeplanetoftheapes,2013,Beneath the Planet of the Apes
89,positive,100,True,positive,theterminator,2015,The Terminator
76,positive,84,True,positive,evildeadrise,2023,Evil Dead Rise
,,,False,,findingthemoney,2024,Finding The Money
77,positive,76,True,positive,ahauntinginvenice,2023,A Haunting in Venice
93,positive,71,False,positive,zacksnyder'sjusticeleague,2021,Zack Snyder's Justice League
81,positive,98,True,positive,thethreemusketeers:parti-d'artagnan,2023,The Three Musketeers: Part I - D'Artagnan
65,positive,87,True,positive,thelobster,2016,The Lobster
87,positive,80,True,positive,gladiator,2011,Gladiator
87,positive,86,False,positive,hankypanky,2024,Hanky Panky
,,90,False,positive,karaoke,2024,Karaoke
91,positive,96,True,positive,thehandmaiden,2017,The Handmaiden
63,positive,67,False,positive,knockatthecabin,2023,Knock at the Cabin
71,positive,67,False,positive,beauisafraid,2023,Beau Is Afraid
24,negative,35,False,negative,deepwater,2022,Deep Water
94,positive,67,False,positive,thelittlemermaid,2023,The Little Mermaid
78,positive,55,False,negative,don'tlookup,2021,Don't Look Up
87,positive,87,True,positive,gonegirl,2016,Gone Girl
43,negative,39,False,negative,irishwish,2024,Irish Wish
61,positive,72,True,positive,selfreliance,2024,Self Reliance
85,positive,93,True,positive,traffic,2015,Traffic
97,positive,100,True,positive,12angrymen,2012,12 Angry Men
93,positive,64,False,positive,sonicthehedgehog,2020,Sonic the Hedgehog
58,negative,43,False,negative,mazerunner:thedeathcure,2018,Maze Runner: The Death Cure
49,negative,74,True,positive,ghostbusters,2016,Ghostbusters
29,negative,20,False,negative,ontheline,2022,On the Line
94,positive,83,True,positive,starwars:episodevi-returnofthejedi,2015,Star Wars: Episode VI - Return of the Jedi
