age_certification,disneyplus,full_path,globoplay,hbomax,id,imdbPopularity,imdbScore,imdbVotes,justwatchScore,lower_title,movie_genre,netflix,object_type,original_release_year,original_title,paramountplus,primevideo,production_countrie,runtime,starplus,title,tmdbPopularity,tmdbScore,website_url
10,True,/br/filme/avatar-edicao-estendida-de-colecionador,False,False,tm135853,174.47,7.9,1387721.0,0.918715706554,avatar,act,False,MOVIE,2009,Avatar,False,False,US,162,False,Avatar,174.47,7.581,www.justwatch.com/br/filme/avatar-edicao-estendida-de-colecionador
10,True,/br/filme/guerra-nas-estrelas-episodio-iv-uma-nova-esperanca,False,False,tm1,429.523,8.6,1451280.0,0.977533031088,starwars,act,False,MOVIE,1977,Star Wars,False,False,US,121,False,Star Wars: Episódio IV - Uma Nova Esperança,429.523,8.203,www.justwatch.com/br/filme/guerra-nas-estrelas-episodio-iv-uma-nova-esperanca
14,True,/br/filme/avatar-2,False,False,tm1904,241.393,7.6,495446,0.884233391592,avatarthewayofwater,scf,False,MOVIE,2022,Avatar: The Way of Water,False,False,US,192,False,Avatar: O Caminho da Água,241.393,7.624,www.justwatch.com/br/filme/avatar-2
L,True,/br/filme/elementos,False,False,tm912189,174.56,7,127250,0.918732965873,elemental,rma,False,MOVIE,2023,Elemental,False,False,US,102,False,Elementos,174.56,7.658,www.justwatch.com/br/filme/elementos
14,True,/br/filme/indiana-jones-5,False,False,tm239633,146.853,6.5,199331,0.838746518889,indianajonesandthedialofdestiny,act,False,MOVIE,2023,Indiana Jones and the Dial of Destiny,False,False,US,154,False,Indiana Jones e o Marcador do Destino,146.853,6.598,www.justwatch.com/br/filme/indiana-jones-5
10,True,/br/filme/tomorrowland-um-lugar-onde-nada-e-impossivel,False,False,tm140416,80.795,6.4,191506,0.853796161719,tomorrowland,scf,False,MOVIE,2015,Tomorrowland,False,False,US,130,False,Tomorrowland - Terra do Amanhã,80.795,6.264,www.justwatch.com/br/filme/tomorrowland-um-lugar-onde-nada-e-impossivel
12,True,/br/filme/10-coisas-que-eu-odeio-em-voce,False,False,tm874,60.966,7.3,386079,0.958644612551,10thingsihateaboutyou,cmy,False,MOVIE,1999,10 Things I Hate About You,False,False,US,97,False,10 Coisas Que Odeio em Ti,60.966,7.6,www.justwatch.com/br/filme/10-coisas-que-eu-odeio-em-voce
12,True,/br/filme/vingadores-endgame,False,False,tm1855,260.098,8.4,1016115.0,0.96837930675,avengersendgame,scf,False,MOVIE,2019,Avengers: Endgame,False,False,US,181,False,Vingadores: Endgame,260.098,8.254,www.justwatch.com/br/filme/vingadores-endgame
L,True,/br/filme/eduardo-maos-de-tesoura,False,False,tm147893,80.339,7.9,524388,0.9424931779,edwardscissorhands,drm,False,MOVIE,1990,Edward Scissorhands,False,False,US,105,False,Eduardo Mãos de Tesoura,80.339,7.716,www.justwatch.com/br/filme/eduardo-maos-de-tesoura
L,True,/br/filme/carros,False,False,tm31341,55.375,7.2,470824,0.928330849268,cars,act,False,MOVIE,2006,Cars,False,False,US,117,False,Carros,55.375,6.964,www.justwatch.com/br/filme/carros
10,True,/br/filme/marvels-the-avengers,False,False,tm64957,245.204,8,1460500.0,0.975078471386,theavengers,scf,False,MOVIE,2012,The Avengers,False,False,US,143,False,Os Vingadores,245.204,7.714,www.justwatch.com/br/filme/marvels-the-avengers
L,True,/br/filme/self,False,False,tm1426050,14.393,,,0.527247103004,self,ani,False,MOVIE,2024,Self,False,False,US,7,False,Self,14.393,6.5,www.justwatch.com/br/filme/self
L,True,/br/filme/monsters-inc,False,False,tm37560,144.677,8.1,979984,0.985648791911,monstersinc,ani,False,MOVIE,2001,"Monsters, Inc.",False,False,US,92,False,Monstros e Companhia,144.677,7.842,www.justwatch.com/br/filme/monsters-inc
L,True,/br/filme/procurando-nemo,False,False,tm135549,120.671,8.1,1006067.0,0.983036326342,findingnemo,fml,False,MOVIE,2003,Finding Nemo,False,False,US,100,False,À Procura de Nemo,120.671,7.823,www.justwatch.com/br/filme/procurando-nemo
L,True,/br/filme/wall-e,False,False,tm25151,96.971,8.4,1201713.0,0.976704002924,walle,ani,False,MOVIE,2008,WALL·E,False,False,US,98,False,Wall-E,96.971,8.1,www.justwatch.com/br/filme/wall-e
12,True,/br/filme/coco-2017,False,False,tm220546,146.288,8.4,591789,0.971116906242,coco,msc,False,MOVIE,2017,Coco,False,False,US,105,False,Coco,146.288,8.212,www.justwatch.com/br/filme/coco-2017
12,True,/br/filme/homem-de-ferro-3,False,False,tm177964,224.037,7.1,900012,0.92720223577,ironman3,scf,False,MOVIE,2013,Iron Man 3,False,False,US,129,False,Homem de Ferro 3,224.037,6.927,www.justwatch.com/br/filme/homem-de-ferro-3
L,True,/br/filme/o-rei-leao,False,False,tm113629,153.195,8.5,1143807.0,0.975971998935,thelionking,fml,False,MOVIE,1994,The Lion King,False,False,US,85,False,O Rei Leão,153.195,8.256,www.justwatch.com/br/filme/o-rei-leao
10,False,/br/filme/interestelar,False,True,tm157099,361.411,8.7,2104434.0,0.964450418443,interstellar,drm,False,MOVIE,2014,Interstellar,False,False,GB,169,False,Interestelar,361.411,8.434,www.justwatch.com/br/filme/interestelar
16,False,/br/filme/anyone-but-you,False,True,tm1334269,251.961,6.1,78330,0.825017224676,anyonebutyou,cmy,False,MOVIE,2023,Anyone But You,False,False,US,103,False,Todos Menos Tu,251.961,7.087,www.justwatch.com/br/filme/anyone-but-you
14,False,/br/filme/dune,False,True,tm305113,514.403,8,860599,0.931474949942,dune,scf,False,MOVIE,2021,Dune,False,True,US,155,False,Dune - Duna,514.403,7.779,www.justwatch.com/br/filme/dune
